exact_original_filename,repository_relative_source_path,template_id_or_lookup_key,backend_send_functions_and_call_sites,trigger_or_business_event,recipient_type,locale_selection_and_fallback,template_variables_and_producers,header_footer_partial_dependencies,attachments_qr_wallet_calendar_special,phase1_scope_status,verified_design_kit_family,backend_semantic_family,proposed_functional_subfolder,figma_frame,preview_reference,replacement_strategy,current_design_status,current_production_deployment_status,source_evidence
second_payment_reminder.template,email/templates/second_payment_reminder.template,festivalSecondPaymentReminderTemplate,SendVendorSecondPaymentReminder; SendAdminSecondPaymentReminder; SendOrganizerSecondPaymentReminder | callers: installments/installments.go,Booth second payment reminder,Vendor; Admin; Organizer,Vendor/org PL; admin EN,Due amount; booth,header_3_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Installments,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:148; audit #11
first_payment_refund.template,email/templates/first_payment_refund.template,firstPaymentRefundTemplate,SendVendorFirstPaymentRefund; SendAdminFirstPaymentRefund; SendOrganizerFirstPaymentRefund | callers: installments/installments.go,Booth first payment refund,Vendor; Admin; Organizer,Vendor/org PL; admin EN,Refund amount; booth,header_3_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Installments,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:150; audit #12
sponsor_installment_paid.template,email/templates/sponsor_installment_paid.template,festivalSponsorInstallmentPiadTemplate,SendSponsorInstallmentPaidToSponsor/Admin/Organizer | callers: installments/sponsor_installments.go,Sponsor installment paid,Sponsor; Admin; Organizer,Sponsor/org PL; admin EN,Installment amount,header_3_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Installments,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:147; audit #13
sponsor_installment_second_payment_reminder.template,email/templates/sponsor_installment_second_payment_reminder.template,sponsorInstallmentSecondPaymentReminderTemplate,SendInstallmentSecondPaymentReminderToSponsor/Admin/Organizer | callers: installments/sponsor_installments.go,Sponsor second payment reminder,Sponsor; Admin; Organizer,Sponsor/org PL; admin EN,Due amount,header_3_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Installments,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:149; audit #14
sponsor_first_payment_refund.template,email/templates/sponsor_first_payment_refund.template,sponsorFirstPaymentRefundTemplate,SendSponsorFirstPaymentRefundToSponsor/Admin/Organizer | callers: installments/sponsor_installments.go,Sponsor first payment refund,Sponsor; Admin; Organizer,Sponsor/org PL; admin EN,Refund amount,header_3_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Installments,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:151; audit #15
refund_receipt_user.template,email/templates/refund_receipt_user.template,refundReceiptUserTemplate,SendRefundItemsToTargetUser | callers: api/v1/festival_tickets.go; festival_sale.go; festival_sponsor.go; festival_add_on.go; festival_kids_activity.go; festival_rooms (refund flows),Itemized refund to buyer/target user,End user (refund target),Refund user ProfileLanguage; refund_items YAML,Refund line items; totals; festival,header_2_localized; footer_branded_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Refunds,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:161; audit #16
refund_receipt_organizer.template,email/templates/refund_receipt_organizer.template,refundReceiptOrganizerTemplate,SendRefundItemsToOrganizer | callers: Same refund flows as user (organizer branch),Itemized refund notice to organizer,Organizer,Organizer PL,Refund lines; user meta,header_2_localized; footer_branded_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Refunds,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:163; audit #17
refund_receipt_admin.template,email/templates/refund_receipt_admin.template,refundReceiptAdminTemplate,SendRefundItemsToAdmin | callers: Same refund flows (admin branch),Itemized refund notice to admin,Admin,Forced UserProfileLanguageEnglish,Refund lines,header_2_localized; footer_branded_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Refunds,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:162; audit #18
marketing_package_sale.template,email/templates/marketing_package_sale.template,MarketingPackageSaleTemplate,SendMarketingPackageSaleToAdmin; SendMarketingPackageSaleToOrganizer | callers: api/v1/marketing_package_sale.go,Marketing package purchase,Admin; Organizer,Organizer PL; admin EN,Package lines; totals,header_2_localized; footer_branded_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Marketing-Package,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:172; audit #19
receipt.template,email/templates/receipt.template,receiptTemplate,SendReceipt | callers: api/v1/order.go; order/terminator.go,Restaurant order receipt,Diner user,None — hardcoded English,Order line items,header_2; footer_1,None,EXCLUDED,COMMERCE,Financial/Receipt,Restaurant-Legacy,,,Out of Phase 1; preserve production path,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:128; smtp_restaurant_emails.go; audit #20; Phase1 exclusion #3
invoice.template,email/templates/invoice.template,invoiceTemplate,SendInvoice | callers: api/v1/invoice.go,Restaurant invoice,Restaurant,None — hardcoded English,Invoice lines,Inline,None,EXCLUDED,COMMERCE,Financial/Receipt,Restaurant-Legacy,,,Out of Phase 1; preserve production path,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:154; audit #21; Phase1 exclusion #4
festival_payout.template,email/templates/festival_payout.template,festivalPayoutTemplate,SendPayoutEmailToOrganizer; SendPayoutEmailToAdmin | callers: api/v1/festival_finances.go,Festival payout,Organizer; Admin,None — English subjects today,Payout amount; redirect link,Inline,Payout redirect link,IN_SCOPE,COMMERCE,Financial/Receipt,Payouts,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:178; smtp_payout.go; audit #22
festival_ticket_registration.template,email/templates/festival_ticket_registration.template,ticketRegistrationTemplate,SendTicketRegistrationToAdmin/Organizer/BuyerUser | callers: api/v1/festival_ticket_registration.go,Registration submitted,User; Organizer; Admin,User/org PL + RTL; admin EN + Dir ltr,Registration meta; status; deadlines,header_4_localized; footer_ticket_registration,None,IN_SCOPE,COMMERCE,Ticket/Pass,Registration,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:183; audit #23
festival_ticket_registration_approval.template,email/templates/festival_ticket_registration_approval.template,ticketRegistrationApprovalTemplate,SendFestivalTicketRegistrationApprovalToUser/Admin/Organizer | callers: api/v1/festival_ticket_registration.go,Registration approved / complete order,User; Organizer; Admin,User/org PL; admin EN,Registration; CompleteOrder CTA URL; payment deadline,header_4_localized; footer_ticket_registration,None,IN_SCOPE,COMMERCE,Ticket/Pass,Registration,48:45,emails/festival_ticket_registration_approval.html,Preserve filename/path; CTA URL contract must remain,DESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:187; audit #24
festival_ticket_registration_reject.template,email/templates/festival_ticket_registration_reject.template,ticketRegistrationRejectTemplate,SendFestivalTicketRegistrationRejectToUser/Admin/Organizer | callers: api/v1/festival_ticket_registration.go,Registration rejected,User; Organizer; Admin,User/org PL; admin EN,Registration; reject reason,header_4_localized; footer_ticket_registration,None,IN_SCOPE,COMMERCE,Ticket/Pass,Registration,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:184; audit #25
festival_ticket_registration_deadline_exceeded.template,email/templates/festival_ticket_registration_deadline_exceeded.template,ticketRegistrationDeadlineExceededTemplate,SendFestivalTicketRegistrationReviewDeadlineExceededToAdmin/User/Organizer | callers: cron/cancel_review_deadline_exceeded_ticket_registration.go,Review deadline exceeded,User; Organizer; Admin,User/org PL; admin EN,Registration; deadline,header_4_localized; footer_ticket_registration,None,IN_SCOPE,COMMERCE,Ticket/Pass,Registration,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:185; audit #26
festival_ticket_registration_payment_deadline_exceeded.template,email/templates/festival_ticket_registration_payment_deadline_exceeded.template,ticketRegistrationPaymentDeadlineExceededTemplate,SendFestivalTicketRegistrationPaymentDeadlineExceededToAdmin/User/Organizer | callers: cron/cancel_payment_deadline_exceeded_ticket_registration.go,Payment deadline exceeded,User; Organizer; Admin,User/org PL; admin EN,Registration; payment deadline,header_4_localized; footer_ticket_registration,None,IN_SCOPE,COMMERCE,Ticket/Pass,Registration,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:186; audit #27
registration_approval_status_changed.template,email/templates/registration_approval_status_changed.template,registrationApprovalStatusChangedTemplate,SendRegistrationApprovalStatusChangedToUser | callers: api/v1/festival_artist.go; festival_speaker.go; festival_volunteer.go,Artist/speaker/volunteer registration status change,User (artist/speaker/volunteer),Request ProfileLanguage,Status; festival,header_3_both_dirs,None,IN_SCOPE,COMMERCE,Ticket/Pass,Registration,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:182; audit #28
partner_coupons.template,email/templates/partner_coupons.template,partnerCouponsFile,SendCoupon | callers: api/v1/partner.go,Partner coupon to buyer,Buyer user,None — hardcoded English,Coupon codes; partner map,header_1,None,IN_SCOPE,COMMERCE,Ticket/Pass,Partner-Coupons,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:156; audit #29
partner_coupons_partner.template,email/templates/partner_coupons_partner.template,partnerCouponsPartnerFile,SendCouponToPartner | callers: api/v1/partner.go,Partner coupon notice to partner,Partner,None — hardcoded English,Coupon meta,header_1,None,IN_SCOPE,COMMERCE,Ticket/Pass,Partner-Coupons,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:157; audit #30
festival_approval_status_changed.template,email/templates/festival_approval_status_changed.template,festivalApprovalStatusChangedTemplate,SendFestivalApprovalStatusChangedToOrganizer | callers: api/v1/festival.go,Festival approval status change,Organizer,Organizer ProfileLanguage,Status; festival,header_3_both_dirs,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:175; audit #31
festival_update_request_approved.template,email/templates/festival_update_request_approved.template,approvedUpdateRequestTemplate,SendApprovedUpdateRequestToOrganizer | callers: api/v1/festival_update_request.go,Update request approved,Organizer,Organizer PL,Update request meta,header_3_both_dirs,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:170; audit #32
festival_update_request_rejected.template,email/templates/festival_update_request_rejected.template,rejectedUpdateRequestTemplate,SendRejectedUpdateRequestToOrganizer | callers: api/v1/festival_update_request.go,Update request rejected,Organizer,Organizer PL,Rejection reason,header_3_both_dirs,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:171; audit #33
festival_vendor_sale_rejection.template,email/templates/festival_vendor_sale_rejection.template,festivalVendorSaleRejectionTemplate,SendVendorSaleRejectionEmail | callers: api/v1/festival_booth.go,Vendor sale rejected,Buyer,Buyer PL (default en),Rejection reason/note,header_2_localized; footer_branded_both_dirs,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:165; audit #34
dispute_notification.template,email/templates/dispute_notification.template,disputeNotificationTemplate,SendDisputeNotificationToAdmin; SendDisputeNotificationToOrganizer | callers: api/helpers/sale_dispute_*_stripe_handler.go,New order dispute,Organizer; Admin,Organizer PL; admin forced EN,Dispute fields; optional ViewPayment URL; evidence deadline,Inline shell,Conditional payment CTA,IN_SCOPE,NOTIFICATION,Workflow/Status,Disputes,72:44,emails/dispute_notification.html,Preserve filename/path; keep conditional CTA vars,DESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:180; audit #35
needs_response_dispute_reminder.template,email/templates/needs_response_dispute_reminder.template,disputeReminderTemplate,SendNeedsResponseDisputeReminderToAdmin/Organizer | callers: cron/remind_need_response_disputes.go,Dispute needs-response reminder,Organizer; Admin,Organizer PL; admin EN,Dispute reminder fields,Inline shell,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Disputes,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:181; audit #36
festival_update_request_issued.template,email/templates/festival_update_request_issued.template,festivalUpdateRequestIssuedTemplate,SendFestivalUpdateRequestIssuedToAdmin | callers: api/v1/festival.go; festival_image.go; festival_kids_activity.go (+ related update paths),New festival update request,Admin,Admin English-only,Update request; festival; user,header_3,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:169; audit #37
festival_created.template,email/templates/festival_created.template,festivalCreatedTemplate,SendFestivalCreatedToAdmin | callers: api/v1/festival.go,New festival created,Admin,Admin English-only,Festival; organizer,header_3,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:174; audit #38
marketing_approval_1.template,email/templates/marketing_approval_1.template,marketingApprovalTemplate1–4,SendMarktingApproval; SendRescountsMarktingEmailApproval (conditional marketing1–4 nest) | callers: api/v1/restaurant.go,Admin restaurant/platform campaign email approval,Admin,Admin English-only,Campaign preview; approve/decline URLs,Composite: marketing_approval_1 + marketing/marketing2/3/4,Nested marketing shells,EXCLUDED,NOTIFICATION,Workflow/Status,Restaurant-Legacy,,,Out of Phase 1; preserve composite parse,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:134–137; audit #39; Phase1 exclusion #9
marketing_sms_approval.template,email/templates/marketing_sms_approval.template,marketingSMSApprovalTemplate,SendMarketingSMSApproval; SendRescountsMarketingSMSApproval | callers: api/v1/restaurant.go,Admin SMS campaign approval,Admin,Admin English-only,SMS campaign preview,Inline,None,EXCLUDED,NOTIFICATION,Workflow/Status,Restaurant-Legacy,,,Out of Phase 1,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:138; audit #40; Phase1 exclusion #10
marketing_notification_approval.template,email/templates/marketing_notification_approval.template,marketingNotificationApprovalTemplate,SendMarketingNotificationApproval; SendRescountsMarketingNotificationApproval | callers: api/v1/restaurant.go,Admin push/notification campaign approval,Admin,Admin English-only,Notification campaign preview,Inline,None,EXCLUDED,NOTIFICATION,Workflow/Status,Restaurant-Legacy,,,Out of Phase 1,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:139; audit #41; Phase1 exclusion #11
festival_marketing_approval.template,email/templates/festival_marketing_approval.template,festivalMarketingApprovalTemplate,SendFestivalMarketingEmailToAdmin | callers: api/v1/festival_marketing_emails.go,Festival email campaign admin approval,Admin,Admin English-only,Approve/decline URLs; campaign body,Inline,Approve/decline links,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:140; audit #42
festival_marketing_approval_sms.template,email/templates/festival_marketing_approval_sms.template,festivalMarketingApprovalSMSTemplate,SendFestivalMarketingSMSToAdmin | callers: api/v1/festival_marketing_sms.go,Festival SMS campaign admin approval,Admin,Admin English-only,SMS campaign preview,Inline,None,IN_SCOPE,NOTIFICATION,Workflow/Status,Approvals-Status,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:141; audit #43
restaurant_approval.template,email/templates/restaurant_approval.template,restaurantApprovalTemplate,RestaurantMarektApporval | callers: api/v1/restaurant.go,Restaurant marketing campaign approved,Restaurant owner,None — hardcoded English,Campaign notice,Inline,None,EXCLUDED,NOTIFICATION,Workflow/Status,Restaurant-Legacy,,,Out of Phase 1,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:153; audit #44; Phase1 exclusion #1
restaurant_decline.template,email/templates/restaurant_decline.template,restaurantDeclineTemplate,RestaurantMarketingDecline | callers: api/v1/restaurant.go,Restaurant marketing campaign declined,Restaurant owner,None — hardcoded English,Decline notice,Inline,None,EXCLUDED,NOTIFICATION,Workflow/Status,Restaurant-Legacy,,,Out of Phase 1,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:152; audit #45; Phase1 exclusion #2
support.template,email/templates/support.template,supportEmailTemplate,SendSupportEmail | callers: errs/errors_email_sender.go,Internal server error alert,Internal support,Internal English-only,Error details; environment; path,header_3,None,IN_SCOPE,NOTIFICATION,Internal/Operational,Support-Ops,22:113,emails/support.html,Preserve filename/path; kit uses branded header (intentional design delta),DESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:127; smtp_support.go; audit #46
bad_content_alert.template,email/templates/bad_content_alert.template,badContentAlertTemplate,SendBadContentAlert | callers: api/helpers/bad_content.go ← festival content paths,Content moderation alert,Admin,Admin English-only,Flagged content meta,header_3,None,IN_SCOPE,NOTIFICATION,Internal/Operational,Support-Ops,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:173; audit #47
contact_submission.template,email/templates/contact_submission.template,contactSubmissionTemplate,SendContactSubmission | callers: api/v1/contact_submission.go,Contact form submission,Admin,Admin English-only,Contact fields,Inline,None,IN_SCOPE,NOTIFICATION,Internal/Operational,Support-Ops,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:176; audit #48
book_demo_admin.template,email/templates/book_demo_admin.template,bookDemoAdminTemplate,SendAdminBookDemoEmail | callers: api/v1/festival_demo.go,Demo booking request,Admin,Admin English-only,Demo fields; EventCalendarLink,Inline,EventCalendarLink,IN_SCOPE,NOTIFICATION,Internal/Operational,Support-Ops,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:177; audit #49
extra_service_request.template,email/templates/extra_service_request.template,extraServiceRequestTemplate,SendExtraServiceRequestToAdmin | callers: api/v1/festival.go,Extra service request,Admin,Admin English-only,Service request fields,Inline,None,IN_SCOPE,NOTIFICATION,Internal/Operational,Support-Ops,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:179; audit #50
organizer_festival_marketing_email_receipt.template,email/templates/organizer_festival_marketing_email_receipt.template,festivalMarketingEmailOrganizerReceiptTemplate,SendFestivalMarketingEmailReceipt | callers: api/v1/festival_marketing_emails.go,Organizer festival marketing email receipt,Organizer,Hardcoded English labels (org path),Campaign receipt meta,header_3,None,IN_SCOPE,NOTIFICATION,Internal/Operational,Organizer-Campaign-Receipts,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:144; audit #51
organizer_festival_marketing_sms_receipt.template,email/templates/organizer_festival_marketing_sms_receipt.template,festivalMarketingSMSOrganizerReceiptTemplate,SendFestivalMarketingSMSReceipt | callers: api/v1/festival_marketing_sms.go,Organizer festival marketing SMS receipt,Organizer,Hardcoded English labels,SMS receipt meta,header_3,None,IN_SCOPE,NOTIFICATION,Internal/Operational,Organizer-Campaign-Receipts,,,Preserve filename/path; EN-only design,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:145; audit #52
marketing.template,email/templates/marketing.template,marketingEmailTemplate,SendMarktingDeals (template 1 / default) | callers: api/v1/restaurant.go,Restaurant or platform deals campaign,End user,Author subject/body; chrome English → PARTIAL,Author body; tracking/unsubscribe URLs,Defines marketingEmail block,Tracking/unsubscribe,EXCLUDED,MARKETING,Campaign/Announcement,Restaurant-Legacy-Campaigns,,,Out of Phase 1; shared with Rescounts null-restaurant path,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:130; smtp_user_emails.go SendMarktingDeals; audit #53; Phase1 exclusion #5
marketing2.template,email/templates/marketing2.template,marketingEmailTemplate2,SendMarktingDeals (template 2) | callers: api/v1/restaurant.go,Same deals campaign shell 2,End user,PARTIAL author body,Author body,Uses marketingEmail,Same,EXCLUDED,MARKETING,Campaign/Announcement,Restaurant-Legacy-Campaigns,,,Out of Phase 1,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:131; audit #54; Phase1 exclusion #6
marketing3.template,email/templates/marketing3.template,marketingEmailTemplate3,SendMarktingDeals (template 3) | callers: api/v1/restaurant.go,Same deals campaign shell 3,End user,PARTIAL,Author body,Uses marketingEmail,Same,EXCLUDED,MARKETING,Campaign/Announcement,Restaurant-Legacy-Campaigns,,,Out of Phase 1,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:132; audit #55; Phase1 exclusion #7
marketing4.template,email/templates/marketing4.template,marketingEmailTemplate4,SendMarktingDeals (template 4) | callers: api/v1/restaurant.go,Same deals campaign shell 4,End user,PARTIAL,Author body,Uses marketingEmail,Same,EXCLUDED,MARKETING,Campaign/Announcement,Restaurant-Legacy-Campaigns,,,Out of Phase 1,EXCLUDED_NO_DESIGN,PRODUCTION_ACTIVE,smtp_render_template.go:133; audit #56; Phase1 exclusion #8
