exact_original_filename,repository_relative_source_path,backend_semantic_family,verified_design_kit_family,proposed_functional_subfolder,catalog_path,phase1_scope_status,current_design_status,figma_frame,preview_reference,template_id_or_lookup_key
first_payment_refund.template,email/templates/first_payment_refund.template,Financial/Receipt,COMMERCE,Installments,Phase-1/02-Commerce/Installments/first_payment_refund.template,IN_SCOPE,UNDESIGNED,,,firstPaymentRefundTemplate
sponsor_installment_paid.template,email/templates/sponsor_installment_paid.template,Financial/Receipt,COMMERCE,Installments,Phase-1/02-Commerce/Installments/sponsor_installment_paid.template,IN_SCOPE,UNDESIGNED,,,festivalSponsorInstallmentPiadTemplate
sponsor_installment_second_payment_reminder.template,email/templates/sponsor_installment_second_payment_reminder.template,Financial/Receipt,COMMERCE,Installments,Phase-1/02-Commerce/Installments/sponsor_installment_second_payment_reminder.template,IN_SCOPE,UNDESIGNED,,,sponsorInstallmentSecondPaymentReminderTemplate
sponsor_first_payment_refund.template,email/templates/sponsor_first_payment_refund.template,Financial/Receipt,COMMERCE,Installments,Phase-1/02-Commerce/Installments/sponsor_first_payment_refund.template,IN_SCOPE,UNDESIGNED,,,sponsorFirstPaymentRefundTemplate
refund_receipt_user.template,email/templates/refund_receipt_user.template,Financial/Receipt,COMMERCE,Refunds,Phase-1/02-Commerce/Refunds/refund_receipt_user.template,IN_SCOPE,UNDESIGNED,,,refundReceiptUserTemplate
refund_receipt_organizer.template,email/templates/refund_receipt_organizer.template,Financial/Receipt,COMMERCE,Refunds,Phase-1/02-Commerce/Refunds/refund_receipt_organizer.template,IN_SCOPE,UNDESIGNED,,,refundReceiptOrganizerTemplate
refund_receipt_admin.template,email/templates/refund_receipt_admin.template,Financial/Receipt,COMMERCE,Refunds,Phase-1/02-Commerce/Refunds/refund_receipt_admin.template,IN_SCOPE,UNDESIGNED,,,refundReceiptAdminTemplate
marketing_package_sale.template,email/templates/marketing_package_sale.template,Financial/Receipt,COMMERCE,Marketing-Package,Phase-1/02-Commerce/Marketing-Package/marketing_package_sale.template,IN_SCOPE,UNDESIGNED,,,MarketingPackageSaleTemplate
receipt.template,email/templates/receipt.template,Financial/Receipt,COMMERCE,Restaurant-Legacy,Excluded/Restaurant-Legacy/receipt.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,receiptTemplate
invoice.template,email/templates/invoice.template,Financial/Receipt,COMMERCE,Restaurant-Legacy,Excluded/Restaurant-Legacy/invoice.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,invoiceTemplate
festival_payout.template,email/templates/festival_payout.template,Financial/Receipt,COMMERCE,Payouts,Phase-1/02-Commerce/Payouts/festival_payout.template,IN_SCOPE,UNDESIGNED,,,festivalPayoutTemplate
festival_ticket_registration.template,email/templates/festival_ticket_registration.template,Ticket/Pass,COMMERCE,Registration,Phase-1/02-Commerce/Registration/festival_ticket_registration.template,IN_SCOPE,UNDESIGNED,,,ticketRegistrationTemplate
festival_ticket_registration_approval.template,email/templates/festival_ticket_registration_approval.template,Ticket/Pass,COMMERCE,Registration,Phase-1/02-Commerce/Registration/festival_ticket_registration_approval.template,IN_SCOPE,DESIGNED,48:45,emails/festival_ticket_registration_approval.html,ticketRegistrationApprovalTemplate
festival_ticket_registration_reject.template,email/templates/festival_ticket_registration_reject.template,Ticket/Pass,COMMERCE,Registration,Phase-1/02-Commerce/Registration/festival_ticket_registration_reject.template,IN_SCOPE,UNDESIGNED,,,ticketRegistrationRejectTemplate
festival_ticket_registration_deadline_exceeded.template,email/templates/festival_ticket_registration_deadline_exceeded.template,Ticket/Pass,COMMERCE,Registration,Phase-1/02-Commerce/Registration/festival_ticket_registration_deadline_exceeded.template,IN_SCOPE,UNDESIGNED,,,ticketRegistrationDeadlineExceededTemplate
festival_ticket_registration_payment_deadline_exceeded.template,email/templates/festival_ticket_registration_payment_deadline_exceeded.template,Ticket/Pass,COMMERCE,Registration,Phase-1/02-Commerce/Registration/festival_ticket_registration_payment_deadline_exceeded.template,IN_SCOPE,UNDESIGNED,,,ticketRegistrationPaymentDeadlineExceededTemplate
registration_approval_status_changed.template,email/templates/registration_approval_status_changed.template,Ticket/Pass,COMMERCE,Registration,Phase-1/02-Commerce/Registration/registration_approval_status_changed.template,IN_SCOPE,UNDESIGNED,,,registrationApprovalStatusChangedTemplate
partner_coupons.template,email/templates/partner_coupons.template,Ticket/Pass,COMMERCE,Partner-Coupons,Phase-1/02-Commerce/Partner-Coupons/partner_coupons.template,IN_SCOPE,UNDESIGNED,,,partnerCouponsFile
partner_coupons_partner.template,email/templates/partner_coupons_partner.template,Ticket/Pass,COMMERCE,Partner-Coupons,Phase-1/02-Commerce/Partner-Coupons/partner_coupons_partner.template,IN_SCOPE,UNDESIGNED,,,partnerCouponsPartnerFile
festival_approval_status_changed.template,email/templates/festival_approval_status_changed.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_approval_status_changed.template,IN_SCOPE,UNDESIGNED,,,festivalApprovalStatusChangedTemplate
festival_update_request_approved.template,email/templates/festival_update_request_approved.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_update_request_approved.template,IN_SCOPE,UNDESIGNED,,,approvedUpdateRequestTemplate
festival_update_request_rejected.template,email/templates/festival_update_request_rejected.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_update_request_rejected.template,IN_SCOPE,UNDESIGNED,,,rejectedUpdateRequestTemplate
festival_vendor_sale_rejection.template,email/templates/festival_vendor_sale_rejection.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_vendor_sale_rejection.template,IN_SCOPE,UNDESIGNED,,,festivalVendorSaleRejectionTemplate
dispute_notification.template,email/templates/dispute_notification.template,Workflow/Status,NOTIFICATION,Disputes,Phase-1/03-Notification/Disputes/dispute_notification.template,IN_SCOPE,DESIGNED,72:44,emails/dispute_notification.html,disputeNotificationTemplate
needs_response_dispute_reminder.template,email/templates/needs_response_dispute_reminder.template,Workflow/Status,NOTIFICATION,Disputes,Phase-1/03-Notification/Disputes/needs_response_dispute_reminder.template,IN_SCOPE,UNDESIGNED,,,disputeReminderTemplate
festival_update_request_issued.template,email/templates/festival_update_request_issued.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_update_request_issued.template,IN_SCOPE,UNDESIGNED,,,festivalUpdateRequestIssuedTemplate
festival_created.template,email/templates/festival_created.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_created.template,IN_SCOPE,UNDESIGNED,,,festivalCreatedTemplate
marketing_approval_1.template,email/templates/marketing_approval_1.template,Workflow/Status,NOTIFICATION,Restaurant-Legacy,Excluded/Restaurant-Legacy/marketing_approval_1.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,marketingApprovalTemplate1–4
marketing_sms_approval.template,email/templates/marketing_sms_approval.template,Workflow/Status,NOTIFICATION,Restaurant-Legacy,Excluded/Restaurant-Legacy/marketing_sms_approval.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,marketingSMSApprovalTemplate
marketing_notification_approval.template,email/templates/marketing_notification_approval.template,Workflow/Status,NOTIFICATION,Restaurant-Legacy,Excluded/Restaurant-Legacy/marketing_notification_approval.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,marketingNotificationApprovalTemplate
festival_marketing_approval.template,email/templates/festival_marketing_approval.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_marketing_approval.template,IN_SCOPE,UNDESIGNED,,,festivalMarketingApprovalTemplate
festival_marketing_approval_sms.template,email/templates/festival_marketing_approval_sms.template,Workflow/Status,NOTIFICATION,Approvals-Status,Phase-1/03-Notification/Approvals-Status/festival_marketing_approval_sms.template,IN_SCOPE,UNDESIGNED,,,festivalMarketingApprovalSMSTemplate
restaurant_approval.template,email/templates/restaurant_approval.template,Workflow/Status,NOTIFICATION,Restaurant-Legacy,Excluded/Restaurant-Legacy/restaurant_approval.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,restaurantApprovalTemplate
restaurant_decline.template,email/templates/restaurant_decline.template,Workflow/Status,NOTIFICATION,Restaurant-Legacy,Excluded/Restaurant-Legacy/restaurant_decline.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,restaurantDeclineTemplate
support.template,email/templates/support.template,Internal/Operational,NOTIFICATION,Support-Ops,Phase-1/03-Notification/Support-Ops/support.template,IN_SCOPE,DESIGNED,22:113,emails/support.html,supportEmailTemplate
bad_content_alert.template,email/templates/bad_content_alert.template,Internal/Operational,NOTIFICATION,Support-Ops,Phase-1/03-Notification/Support-Ops/bad_content_alert.template,IN_SCOPE,UNDESIGNED,,,badContentAlertTemplate
contact_submission.template,email/templates/contact_submission.template,Internal/Operational,NOTIFICATION,Support-Ops,Phase-1/03-Notification/Support-Ops/contact_submission.template,IN_SCOPE,UNDESIGNED,,,contactSubmissionTemplate
book_demo_admin.template,email/templates/book_demo_admin.template,Internal/Operational,NOTIFICATION,Support-Ops,Phase-1/03-Notification/Support-Ops/book_demo_admin.template,IN_SCOPE,UNDESIGNED,,,bookDemoAdminTemplate
extra_service_request.template,email/templates/extra_service_request.template,Internal/Operational,NOTIFICATION,Support-Ops,Phase-1/03-Notification/Support-Ops/extra_service_request.template,IN_SCOPE,UNDESIGNED,,,extraServiceRequestTemplate
organizer_festival_marketing_email_receipt.template,email/templates/organizer_festival_marketing_email_receipt.template,Internal/Operational,NOTIFICATION,Organizer-Campaign-Receipts,Phase-1/03-Notification/Organizer-Campaign-Receipts/organizer_festival_marketing_email_receipt.template,IN_SCOPE,UNDESIGNED,,,festivalMarketingEmailOrganizerReceiptTemplate
organizer_festival_marketing_sms_receipt.template,email/templates/organizer_festival_marketing_sms_receipt.template,Internal/Operational,NOTIFICATION,Organizer-Campaign-Receipts,Phase-1/03-Notification/Organizer-Campaign-Receipts/organizer_festival_marketing_sms_receipt.template,IN_SCOPE,UNDESIGNED,,,festivalMarketingSMSOrganizerReceiptTemplate
marketing.template,email/templates/marketing.template,Campaign/Announcement,MARKETING,Restaurant-Legacy-Campaigns,Excluded/Restaurant-Legacy-Campaigns/marketing.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,marketingEmailTemplate
marketing2.template,email/templates/marketing2.template,Campaign/Announcement,MARKETING,Restaurant-Legacy-Campaigns,Excluded/Restaurant-Legacy-Campaigns/marketing2.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,marketingEmailTemplate2
marketing3.template,email/templates/marketing3.template,Campaign/Announcement,MARKETING,Restaurant-Legacy-Campaigns,Excluded/Restaurant-Legacy-Campaigns/marketing3.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,marketingEmailTemplate3
marketing4.template,email/templates/marketing4.template,Campaign/Announcement,MARKETING,Restaurant-Legacy-Campaigns,Excluded/Restaurant-Legacy-Campaigns/marketing4.template,EXCLUDED,EXCLUDED_NO_DESIGN,,,marketingEmailTemplate4
festival_marketing_email_target.template,email/templates/festival_marketing_email_target.template,Campaign/Announcement,MARKETING,Campaigns,Phase-1/04-Marketing/Campaigns/festival_marketing_email_target.template,IN_SCOPE,DESIGNED,72:175,emails/festival_marketing_email_target.html,festivalMarketingEmailTargetTemplate
festival_rescounts_marketing_email_target.template,email/templates/festival_rescounts_marketing_email_target.template,Campaign/Announcement,MARKETING,Campaigns,Phase-1/04-Marketing/Campaigns/festival_rescounts_marketing_email_target.template,IN_SCOPE,UNDESIGNED,,,festivalRescountsMarketingEmailTargetTemplate
organizer_announcement.template,email/templates/organizer_announcement.template,Campaign/Announcement,MARKETING,Organizer-Announcements,Phase-1/04-Marketing/Organizer-Announcements/organizer_announcement.template,IN_SCOPE,UNDESIGNED,,,organizerAnnouncementTemplate
